iter	TotalF1	Logloss
0	0.829707156	0.6401609369
1	0.8296228763	0.5955709675
2	0.8295385559	0.5581046125
3	0.8295385559	0.5267172112
4	0.8295385559	0.5003486482
5	0.8295385559	0.4782138675
6	0.8295385559	0.4596369779
7	0.8295385559	0.4439864592
8	0.8295385559	0.4308649212
9	0.8295385559	0.4198340343
10	0.8295385559	0.4104755646
11	0.8295385559	0.4026267196
12	0.8295385559	0.3960031199
13	0.8295385559	0.3904011992
14	0.8295385559	0.385652391
15	0.8295385559	0.3816272851
16	0.8295385559	0.3782154652
17	0.8295385559	0.3753075264
18	0.8295385559	0.3728314391
19	0.8295385559	0.3706674122
20	0.8295385559	0.3688827534
21	0.8295385559	0.3673570177
22	0.8295385559	0.366058415
23	0.8295385559	0.3649371439
24	0.8295385559	0.3639900535
25	0.8295385559	0.3631800797
26	0.8295385559	0.3624869085
27	0.8295385559	0.3618940137
28	0.8295385559	0.3613396197
29	0.8295385559	0.3608761981
30	0.8295385559	0.36049136
31	0.8295385559	0.360078737
32	0.8295385559	0.3598052887
33	0.8295385559	0.359534022
34	0.8295385559	0.3593326648
35	0.8295385559	0.3591596216
36	0.8295385559	0.3589517032
37	0.8295385559	0.358802152
38	0.8295385559	0.3586843266
39	0.8295385559	0.3585817478
40	0.8295385559	0.358500837
41	0.8295385559	0.3583150823
42	0.8295385559	0.358255176
43	0.8295385559	0.3581643212
44	0.8295385559	0.3581203798
45	0.8295385559	0.3580742969
46	0.8295385559	0.357988575
47	0.8295385559	0.3579353011
48	0.8295385559	0.3579113514
49	0.8295385559	0.3577246977
50	0.8295385559	0.3577058437
