iter	Passed	Remaining
0	65	130495
1	75	75134
2	85	57064
3	94	47155
4	104	41857
5	114	37969
6	120	34443
7	130	32391
8	137	30414
9	140	28046
10	150	27283
11	156	25936
12	158	24272
13	161	22846
14	166	21977
15	170	21172
16	173	20291
17	183	20154
18	192	20052
19	201	19909
20	204	19311
21	210	18951
22	214	18421
23	220	18146
24	222	17587
25	226	17162
26	229	16744
27	231	16279
28	239	16260
29	246	16189
30	255	16223
31	264	16236
32	266	15867
33	273	15837
34	276	15500
35	279	15248
36	287	15249
37	294	15200
38	302	15185
39	307	15063
40	309	14789
41	316	14765
42	322	14656
43	329	14657
44	331	14419
45	338	14377
46	346	14396
47	352	14315
48	354	14105
49	362	14133
50	366	13998
